Paper Food Trays,,,,,,
10000,FT025,1/4 lb. Red/White #25,4”x2.75”x1”,1000 ct.,FT025,"1. FT01, 1. FT02, 1. FT03"
10001,FT050,1/2 lb. Red/White #50,4.35’’ x 3.25’’ x 1.25’’,1000 ct.,FT025,"1. FT01, 1. FT02"
10002,FT100,1 lb. Red/White #100,5” x 3.35’’ x 1.5” ,1000 ct.,FT025,"1. FT01, 1. FT02"
10003,FT200,2 lb. Red/White #200,6” x 4” x 1.5” ,1000 ct.,FT025,"1. FT01, 1. FT02"
10004,FT250,2.5 lb. Red/White #25,0 5”x3.35”x1.5” ,500 ct. ,FT025,"1. FT01, 1. FT02"
10005,FT300,3 lb. Red/White #300,7.2” x 5’’ x 2’’ ,500 ct. ,FT025,"1. FT01, 1. FT02"
,,,,,,
,,,,,,
100% Compostable White Plates,,,,,,
10006,RP-06,1-Compartment Round Plate,6”,1000 ct.,RP-06,4. RP01
10007,RP-07,1-Compartment Round Plate,7”,1000 ct.,RP-06,4. RP01
10008,RP-09,1-Compartment Round Plate,9”,500 ct.,RP-06,4. RP01
10009,RP-93,3-Compartment Round Plate,9”,500 ct.,RP-06,4. RP01
10010,RP-10,1-Compartment Round Plate,10”,500 ct.,RP-06,4. RP01
10011,RP-103,3-Compartment Round Plate,"10""",500 ct.,RP-06,4. RP01
10012,OP-12,1-Compartment Oval Plate 1,"2”x10""",500 ct.,RP-06,4. RP01
,,,,,,
,,,,,,
,,,,,,
Pagoda Food Pails,,,,,,
10013,8FP,8oz  Pagoda,8oz,450 ct.,8FP,"5. FP01, 5. FP02"
10014,16FP,16oz Pagoda,16oz,450 ct.,8FP,"5. FP01, 5. FP02"
10015,26FP,26oz Pagoda,26oz,450 ct.,8FP,"5. FP01, 5. FP02"
10016,32FP,32oz Pagoda,32oz,450 ct.,8FP,"5. FP01, 5. FP02"
10017,64FP,64oz Pagoda,64oz,200 ct.,8FP,"5. FP01, 5. FP02"
WHITE Food Pails,,,,,,
10018,W8FP,8oz White,8oz ,450 ct. ,W8FP,5. WFP01
10019,W16FP,16oz White,16oz,450 ct.,W8FP,5. WFP01
10020,W26FP,26oz White,26oz,450 ct.,W8FP,5. WFP01
10021,W32FP,32oz White,32oz,450 ct,W8FP,5. WFP01
